lat,long,dailyave,date,site,name,dateorig
49.7093,-112.9402,0.017544586,2007-1-15T00:00:00.000Z,CA-Let,Alberta - Mixed Grass Prairie,1/15/2007 0:00
36.8193,-97.8198,0.131595388,2007-1-15T00:00:00.000Z,US-A32,ARM-SGP Medford hay pasture,1/15/2007 0:00
36.4267,-99.42,-0.000769359,2007-1-15T00:00:00.000Z,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,1/15/2007 0:00
36.6358,-99.5975,0.053845778,2007-1-15T00:00:00.000Z,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,1/15/2007 0:00
35.5497,-98.0402,-0.006485961,2007-1-15T00:00:00.000Z,US-ARb,ARM Southern Great Plains burn site- Lamont,1/15/2007 0:00
35.5465,-98.04,-0.006485961,2007-1-15T00:00:00.000Z,US-ARc,ARM Southern Great Plains control site- Lamont,1/15/2007 0:00
31.5907,-110.5104,-0.077770002,2007-1-15T00:00:00.000Z,US-Aud,Audubon Research Ranch,1/15/2007 0:00
39.2167,-86.5406,0.064912461,2007-1-15T00:00:00.000Z,US-BRG,Bayles Road Grassland Tower,1/15/2007 0:00
38.09,-109.39,-0.016216299,2007-1-15T00:00:00.000Z,US-Cop,Corral Pocket,1/15/2007 0:00
43.95,-101.8466,0.004073307,2007-1-15T00:00:00.000Z,US-Ctn,Cottonwood,1/15/2007 0:00
37.6773,-121.5296,0.222069174,2007-1-15T00:00:00.000Z,US-Dia,Diablo,1/15/2007 0:00
35.9712,-79.0934,0.15236637,2007-1-15T00:00:00.000Z,US-Dk1,Duke Forest-open field,1/15/2007 0:00
48.3077,-105.1019,-0.012906237,2007-1-15T00:00:00.000Z,US-FPe,Fort Peck,1/15/2007 0:00
29.93,-98.01,0.210195661,2007-1-15T00:00:00.000Z,US-FR1,Freeman Ranch- Grassland,1/15/2007 0:00
29.9495,-97.9962,0.052359801,2007-1-15T00:00:00.000Z,US-FR2,Freeman Ranch- Mesquite Juniper,1/15/2007 0:00
35.4454,-111.7718,-0.079782449,2007-1-15T00:00:00.000Z,US-Fwf,Flagstaff - Wildfire,1/15/2007 0:00
34.2547,-89.8735,-0.071966119,2007-1-15T00:00:00.000Z,US-Goo,Goodwin Creek,1/15/2007 0:00
39.0745,-96.5951,0.292915314,2007-1-15T00:00:00.000Z,US-KFB,Konza Prairie LTER (4B),1/15/2007 0:00
39.0561,-95.1907,-0.116402999,2007-1-15T00:00:00.000Z,US-KFS,Kansas Field Station,1/15/2007 0:00
38.7745,-97.5684,0.097011939,2007-1-15T00:00:00.000Z,US-KLS,Kansas Land Institute,1/15/2007 0:00
39.0824,-96.5603,0.292915314,2007-1-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (KNZ),1/15/2007 0:00
34.1377,-101.4787,0.129700959,2007-1-15T00:00:00.000Z,US-LGr,Lockney Grassland,1/15/2007 0:00
34.9604,-97.9789,0.286839485,2007-1-15T00:00:00.000Z,US-LWW,Little Washita Watershed,1/15/2007 0:00
33.7364,-117.6947,-0.004562836,2007-1-15T00:00:00.000Z,US-SCg,Southern California Climate Gradient - Grassland,1/15/2007 0:00
42.0693,-101.4072,0.007008739,2007-1-15T00:00:00.000Z,US-SdH,Nebraska SandHills Dry Valley,1/15/2007 0:00
34.3623,-106.7019,0.041541953,2007-1-15T00:00:00.000Z,US-Seg,Sevilleta grassland,1/15/2007 0:00
36.9333,-96.6833,0.014546233,2007-1-15T00:00:00.000Z,US-Shd,Shidler- Oklahoma,1/15/2007 0:00
38.0373,-121.7537,0.036356561,2007-1-15T00:00:00.000Z,US-Snd,Sherman Island,1/15/2007 0:00
38.0369,-121.7547,0.036356561,2007-1-15T00:00:00.000Z,US-Sne,Sherman Island Restored Wetland,1/15/2007 0:00
31.7894,-110.8277,-0.077770002,2007-1-15T00:00:00.000Z,US-SRG,Santa Rita Grassland,1/15/2007 0:00
31.8214,-110.8661,-0.077770002,2007-1-15T00:00:00.000Z,US-SRM,Santa Rita Mesquite,1/15/2007 0:00
38.4316,-120.966,0.087467492,2007-1-15T00:00:00.000Z,US-Ton,Tonzi Ranch,1/15/2007 0:00
38.4133,-120.9507,0.087467492,2007-1-15T00:00:00.000Z,US-Var,Vaira Ranch- Ione,1/15/2007 0:00
31.7365,-109.9419,0.076879084,2007-1-15T00:00:00.000Z,US-Wkg,Walnut Gulch Kendall Grasslands,1/15/2007 0:00
37.5208,-96.855,-0.01989126,2007-1-15T00:00:00.000Z,US-Wlr,Walnut River Watershed (Smileyburg),1/15/2007 0:00
49.7093,-112.9402,0.062040586,2007-2-15T00:00:00.000Z,CA-Let,Alberta - Mixed Grass Prairie,2/15/2007 0:00
36.8193,-97.8198,0.082837977,2007-2-15T00:00:00.000Z,US-A32,ARM-SGP Medford hay pasture,2/15/2007 0:00
36.4267,-99.42,0.076415166,2007-2-15T00:00:00.000Z,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,2/15/2007 0:00
36.6358,-99.5975,0.041698296,2007-2-15T00:00:00.000Z,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,2/15/2007 0:00
35.5497,-98.0402,0.194536641,2007-2-15T00:00:00.000Z,US-ARb,ARM Southern Great Plains burn site- Lamont,2/15/2007 0:00
35.5465,-98.04,0.194536641,2007-2-15T00:00:00.000Z,US-ARc,ARM Southern Great Plains control site- Lamont,2/15/2007 0:00
31.5907,-110.5104,0.038357332,2007-2-15T00:00:00.000Z,US-Aud,Audubon Research Ranch,2/15/2007 0:00
44.3453,-96.8362,0.005891611,2007-2-15T00:00:00.000Z,US-Bkg,Brookings,2/15/2007 0:00
39.2167,-86.5406,0.040548749,2007-2-15T00:00:00.000Z,US-BRG,Bayles Road Grassland Tower,2/15/2007 0:00
38.09,-109.39,-0.081966877,2007-2-15T00:00:00.000Z,US-Cop,Corral Pocket,2/15/2007 0:00
40.8155,-104.7456,0.012178762,2007-2-15T00:00:00.000Z,US-CPR,NEON Central Plains Experimental Range (CPER),2/15/2007 0:00
43.95,-101.8466,-0.074716344,2007-2-15T00:00:00.000Z,US-Ctn,Cottonwood,2/15/2007 0:00
37.6773,-121.5296,0.208279178,2007-2-15T00:00:00.000Z,US-Dia,Diablo,2/15/2007 0:00
35.9712,-79.0934,0.095286995,2007-2-15T00:00:00.000Z,US-Dk1,Duke Forest-open field,2/15/2007 0:00
48.3077,-105.1019,0.202319309,2007-2-15T00:00:00.000Z,US-FPe,Fort Peck,2/15/2007 0:00
29.93,-98.01,0.244438708,2007-2-15T00:00:00.000Z,US-FR1,Freeman Ranch- Grassland,2/15/2007 0:00
29.9495,-97.9962,0.267335802,2007-2-15T00:00:00.000Z,US-FR2,Freeman Ranch- Mesquite Juniper,2/15/2007 0:00
35.4454,-111.7718,0.042946853,2007-2-15T00:00:00.000Z,US-Fwf,Flagstaff - Wildfire,2/15/2007 0:00
34.2547,-89.8735,0.091982946,2007-2-15T00:00:00.000Z,US-Goo,Goodwin Creek,2/15/2007 0:00
41.8406,-88.241,-0.091805957,2007-2-15T00:00:00.000Z,US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),2/15/2007 0:00
39.0745,-96.5951,-0.005270919,2007-2-15T00:00:00.000Z,US-KFB,Konza Prairie LTER (4B),2/15/2007 0:00
39.0561,-95.1907,0.046140797,2007-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2/15/2007 0:00
38.7745,-97.5684,0.046559334,2007-2-15T00:00:00.000Z,US-KLS,Kansas Land Institute,2/15/2007 0:00
39.0824,-96.5603,-0.005270919,2007-2-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (KNZ),2/15/2007 0:00
44.995,-93.1863,0.226889238,2007-2-15T00:00:00.000Z,US-KUT,KUOM Turfgrass Field,2/15/2007 0:00
34.1377,-101.4787,-0.015904475,2007-2-15T00:00:00.000Z,US-LGr,Lockney Grassland,2/15/2007 0:00
34.9604,-97.9789,-0.078446113,2007-2-15T00:00:00.000Z,US-LWW,Little Washita Watershed,2/15/2007 0:00
39.8771,-105.169,-0.225797296,2007-2-15T00:00:00.000Z,US-RFE,RockyFlats - East site,2/15/2007 0:00
39.8751,-105.2184,-0.225797296,2007-2-15T00:00:00.000Z,US-RFW,RockyFlats - West site,2/15/2007 0:00
